name,origin price,add-on_price,sale price,url,sale
Bloody Inn (TH) โรงแรมสีเลือด,"฿1,300.00",N/A,N/A,https://siamboardgames.com/product/bloody-inn/,False
[กล่องบุบ] Micro Macro Crime City Full House (TH) เมืองอาชญากรนครย่อส่วน ฟูลเฮาส์,"฿1,550.00",N/A,N/A,https://siamboardgames.com/product/micro-macro-crime-city-full-house/,False
Dobble minions (TH) ด็อบเบิล มินเนี่ยน,฿630.00,N/A,฿540.00,https://siamboardgames.com/product/dobble-minion/,True
Kingdomino Origin (TH) คิงโดมิโน ออริจิน,"฿1,250.00",N/A,฿950.00,https://siamboardgames.com/product/kingdomino-origin/,True
Micro Macro Crime City (TH) เมืองอาชญากรนครย่อส่วน,"฿1,550.00",N/A,N/A,https://siamboardgames.com/product/micro-macro-crime-city/,False
Betakkuma : Fart & Furious ตดทะลุนรก,฿520.00,฿730.00,N/A,https://siamboardgames.com/product/betakkuma-fart-furious/,False
Gloomhaven : Jaw of The Lion (TH) กลูมเฮเวน : คมเขี้ยวราชสีห์,"฿3,990.00",N/A,N/A,https://siamboardgames.com/product/gloomhaven-jaw-of-the-lion/,False
Tucano (TH) ทูคาโน,฿450.00,N/A,฿325.00,https://siamboardgames.com/product/tucano-th/,True
Friday (TH) ฟรายเดย์,฿790.00,N/A,฿595.00,https://siamboardgames.com/product/friday/,True
Telestrations (TH) วาด วาด ทาย ทาย,"฿1,100.00",N/A,฿895.00,https://siamboardgames.com/product/telestrations/,True
Project L (TH) โปรเจค แอล,"฿1,290.00",N/A,"฿1,125.00",https://siamboardgames.com/product/project-l/,True
Travel Checkers (TH) เกมแม่เหล็กหมากฮอส,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-checkers/,True
Travel Reversi (TH) เกมแม่เหล็กโอเทลโล่,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-reversi/,True
Travel Ludo (TH) เกมแม่เหล็กลูโด้,฿249.00,N/A,฿150.00,https://siamboardgames.com/product/travel-ludo/,True
Skull (TH) สกัล,฿700.00,฿890.00,N/A,https://siamboardgames.com/product/skull/,False
Feelink (TH) เกมปิ๊งใจ,"฿1,200.00",N/A,"฿1,140.00",https://siamboardgames.com/product/feelink/,True
Sriracha (TH) ศรีราชา,"฿1,300.00",N/A,"฿1,150.00",https://siamboardgames.com/product/sriracha/,True
Exploding Kitten Party Pack (TH) เหมียวระเบิดปาร์ตี้แพ็ค,"฿1,036.00","฿1,415.00",N/A,https://siamboardgames.com/product/exploding-kitten-party-pack/,False
